,id,location,x,y
541,541,,0.0,0.0
542,542,Central Park,-73.96062469,40.76982498
543,543,SoHo,-73.99671173,40.72374344
544,544,Midtown,-73.97994232,40.75414658
545,545,Upper West Side,-73.98195648,40.77624893
546,546,Murray Hill,-73.97165679999999,40.746444700000005
547,547,Battery Park City,-74.01576996,40.71115494
548,548,Upper West Side,-73.97426605,40.79139328
549,549,Midtown,-73.97740936,40.75300217
550,550,,-73.97855377,40.68458557
551,551,Hell's Kitchen,-73.98577118,40.76007843
552,552,Central Park,-73.96218109,40.76761627
553,553,Hell's Kitchen,-73.9959259,40.75927353
554,554,Midtown,-73.97367096,40.74305344
555,555,Midtown,-73.96588135,40.75437927
556,556,East Village,-73.99034882,40.71899414
557,557,Hell's Kitchen,-73.99138641,40.7652626
558,558,Chelsea,-73.99656677,40.7532959
559,559,Greenwich Village,-73.99293518,40.73163605
560,560,Central Park,-73.95552063,40.77936172
561,561,Central Park,-73.95671082,40.78005981
562,562,West Village,-74.00634003,40.73323059
563,563,Hell's Kitchen,-73.98978424,40.75661469
564,564,Roosevelt Island,-73.9562912,40.76795959
565,565,Upper West Side,-73.95857239,40.80046082
566,566,Midtown,-73.97539520000001,40.75611877
567,567,Roosevelt Island,-73.95326996,40.76773834
568,568,Boerum Hill,-73.98287964,40.68539047
569,569,LaGuardia Airport,-73.86283112,40.76887131
570,570,Midtown,-73.97215271,40.75932312
571,571,Midtown,-73.97869873,40.7649498
572,572,Roosevelt Island,-73.95485687,40.76506805
573,573,Midtown,-73.96321869,40.76744843
574,574,Midtown,-73.96365356,40.76607132
575,575,Midtown,-73.98238373,40.76420975
576,576,Upper West Side,-73.98236084,40.7713089
577,577,Greenwich Village,-73.99491119,40.73431015
578,578,Central Park,-73.96144104,40.7715683
579,579,Upper West Side,-73.97014618,40.78424072
580,580,Upper West Side,-73.98233795,40.77458954
581,581,Hell's Kitchen,-73.9914093,40.765392299999995
582,582,Greenwich Village,-73.99369812,40.73263168
583,583,Roosevelt Island,-73.96103668,40.76516342
584,584,Financial District,-74.00753021,40.71007538
585,585,Central Park,-73.95714569,40.774658200000005
586,586,Flatiron District,-73.98871613,40.74461746
587,587,Theater District,-73.98252106,40.75577164
588,588,,-73.99737549,40.736892700000006
589,589,Hell's Kitchen,-73.98693848,40.75855637
590,590,Long Island City,-73.93698883,40.7648201
591,591,Tribeca,-74.00933838,40.71804047
592,592,Harlem,-73.94203186,40.80633545
593,593,Hell's Kitchen,-74.00065613,40.75777817
594,594,West Village,-73.998909,40.73955154
595,595,Upper West Side,-73.96845245,40.79898071
596,596,Central Park,-73.95703888,40.77035904
597,597,Tribeca,-74.00460815,40.7256279
598,598,Roosevelt Island,-73.95917511,40.76324844
599,599,Midtown,-73.96505737,40.7551651
600,600,Theater District,-73.98410797,40.75534058
601,601,Greenwich Village,-73.99608612,40.73308182
